"Name","Area","Campus","Credential","Length"
"Mobile and Web User Experience Design
Duration:Part-time
Online, Campus:Online","Arts and Design","Online","College Certificate","Part-time
Online"
"Mobile Application Design and Development
Duration:2 Years, Campus:Ottawa","Arts and Design","Ottawa","Ontario College Diploma","Full-time
On Campus
2 Years"
